pdb_idx	length	ident	simi
1M6B_B	22	45.455	50.0
2E9W_B	28	46.42900000000001	50.0
2H7V_D	17	58.824	70.59
2HR7_B	25	40.0	56.0
2I3S_C	22	45.455	59.09
2IFG_B	48	31.25	41.67
2NZI_B	14	64.286	78.57000000000001
2O26_W	24	33.333	45.830000000000005
2OOX_G	36	38.889	58.330000000000005
2OOY_G	36	38.889	58.330000000000005
2QLV_E	18	44.444	66.67
2QLV_F	26	38.462	53.85000000000001
2QR1_G	36	38.889	58.330000000000005
2QRC_G	36	38.889	58.330000000000005
2QRD_G	36	38.889	58.330000000000005
2QRE_G	36	38.889	58.330000000000005
2WIU_C	15	53.333	73.33
2Y1N_C	62	22.581	38.71
3AKJ_B	51	31.373	41.18
3AKK_B	51	31.373	41.18
3AKL_B	51	31.373	41.18
3CIO_D	16	56.25	62.5
3CU8_B	28	32.143	64.29
3DVL_B	24	41.667	66.67
3H3B_D	52	34.615	42.309999999999995
3JZM_B	24	41.667	66.67
3K09_B	24	41.667	66.67
3K0A_B	24	41.667	66.67
3K0C_B	24	41.667	66.67
3K0E_B	24	41.667	66.67
3KGV_A.fasta	 no output
3MJG_Y	19	42.105	78.95
3MX0_C	11	72.727	81.82
3NH7_I	13	61.538	69.23
3NJP_B	17	41.176	70.59
3NKX_B	28	32.143	64.29
3OJ2_D	30	40.0	46.67
3OJV_D	19	52.632	68.42
3PCS_B	17	47.059	64.71
3QS7_F	14	50.0	64.29
3QS9_F	51	29.412	41.18
3RE4_B	23	47.826	56.52
3S1A_B	24	41.667	66.67
3SKJ_I	13	61.538	69.23
3TAX_C	21	38.095	57.14
3TPT_B	15	53.333	73.33
3U7U_B	36	36.111	58.330000000000005
3U9U_F	36	36.111	58.330000000000005
3WLW_B	14	50.0	64.29
3ZDT_B	16	56.25	75.0
3ZMP_B	20	45.0	55.0
3ZNI_E	23	43.478	56.52
4BK4_B	34	35.294	52.94
4BKF_B	34	35.294	52.94
4BL0_D	22	45.455	59.09
4CH9_B	18	44.444	61.11
4CHB_B	11	81.818	90.91
4CYE_B	16	56.25	75.0
4DUG_B	24	41.667	66.67
4FJ3_B	28	32.143	64.29
4GGD_B	9	88.889	100.0
4GS0_B	16	62.5	75.0
4GYW_C	21	38.095	57.14
4GYY_C	21	38.095	57.14
4GZ3_C	21	38.095	57.14
4HQ1_A.fasta	 no output
4IHL_B	28	32.143	64.29
4IJM_B	24	41.667	66.67
4J0M_B	39	43.59	56.41
4JSN_B	27	48.148	59.26
4JSN_D	44	34.091	54.55
4JSP_B	27	48.148	59.26
4JSP_D	44	34.091	54.55
4JSV_B	27	48.148	59.26
4JSV_D	44	34.091	54.55
4JSX_B	27	48.148	59.26
4JSX_D	44	34.091	54.55
4JT5_B	27	48.148	59.26
4JT5_D	44	34.091	54.55
4LSX_B	38	39.474	50.0
4M4R_C	29	37.931	58.62
4M7E_B	38	39.474	50.0
4NKB_B	30	40.0	53.33
4NY0_B	22	45.455	59.09
4O0M_B	24	41.667	58.330000000000005
4P7I_B	20	45.0	65.0
4PBV_B	21	38.095	52.38
4PBV_D	27	40.741	55.56
4PBW_B	21	38.095	52.38
4PBW_E	27	40.741	55.56
4PXW_B	23	34.783	65.22
4QT8_B	34	38.235	58.82
4QT8_D	57	31.578999999999997	43.86
4RA0_B	27	40.741	51.85
4TL6_B	24	41.667	66.67
4TL7_B	24	41.667	66.67
4TL8_B	24	41.667	66.67
4TL9_B	24	41.667	66.67
4TLA_B	24	41.667	66.67
4TLB_B	24	41.667	66.67
4TLC_B	24	41.667	66.67
4TLD_B	24	41.667	66.67
4TLE_B	24	41.667	66.67
4WRL_C	29	31.034	58.62
4WV1_E	13	61.538	69.23
4YG7_K	15	53.333	73.33
4YZS_A.fasta	 no output
4Z32_B	48	31.25	43.75
4Z5W_B	31	35.484	58.06
4Z61_B	31	35.484	58.06
4Z8L_D	28	28.571	57.14
5AOQ_B	19	42.105	63.16
5BS0_E.fasta	 no output
5CUS_B	22	45.455	50.0
5GR8_D	36	36.111	55.56
5JDE_B	23	47.826	56.52
5JFI_B	22	36.364	63.63999999999999
5JFK_B	22	36.364	63.63999999999999
5JJA_B	26	46.154	61.54
5JK7_B	31	41.935	64.52
5JK7_E	28	28.571	57.14
5JWQ_C	25	40.0	56.0
5JWR_C	22	45.455	68.18
5K98_D	15	53.333	73.33
5LSP_P	20	55.0	60.0
