pdb_idx	length	ident	simi
2IN6_A	271	100.0	100.0
2IO6_A	271	100.0	100.0
2IZS_A	268	99.627	99.63
2IZT_A	268	99.627	99.63
2J0J_A	257	99.222	100.0
2J0K_A	257	98.444	99.61
2OIC_A	282	100.0	100.0
2OID_A	282	100.0	100.0
2OJ9_A	270	100.0	100.0
2PSQ_A	279	100.0	100.0
2PVF_A	279	99.642	99.64
2PVY_A	279	99.283	99.28
2PWL_A	279	99.283	99.64
2PY3_A	279	99.283	99.28
2PZ5_A	279	99.283	99.28
2PZP_A	279	99.283	99.64
2PZR_A	279	99.283	99.64
2Q0B_A	279	99.283	99.28
2Z2W_A	271	100.0	100.0
3AOX_A	270	100.0	100.0
3AT2_A	286	100.0	100.0
3AT3_A	286	100.0	100.0
3AT4_A	286	100.0	100.0
3BI6_A	271	100.0	100.0
3BIZ_A	271	100.0	100.0
3CQE_A	271	100.0	100.0
3CR0_A	271	100.0	100.0
3LZB_A	259	99.614	99.61
3NW5_A	270	100.0	100.0
3NW6_A	270	100.0	100.0
3NW7_A	270	100.0	100.0
3QD2_B	333	89.79006306306306	94.59657657657658
3QQU_A	270	100.0	100.0
3TT0_A	279	99.283	99.28
3U4U_A	286	100.0	100.0
3UYS_A	267	100.0	100.0
3UYT_A	267	100.0	100.0
3UZP_A	267	100.0	100.0
3V5Q_A	289	95.156	95.16
3WOW_A	286	100.0	100.0
3ZON_A	280	100.0	100.0
4BTJ_A	262	100.0	100.0
4BTK_A	262	100.0	100.0
4BTM_A	262	100.0	100.0
4C58_A	276	100.0	100.0
4C59_A	276	100.0	100.0
4CSV_A	254	68.11	83.07
4D2R_A	270	100.0	100.0
4DCE_A	270	100.0	100.0
4E7W_A	285	76.491	89.12
4FNW_A	270	99.63	99.63
4FNX_A	270	99.63	100.0
4FNY_A	270	99.63	100.0
4FOB_A	270	100.0	100.0
4FOC_A	270	100.0	100.0
4FOD_A	270	100.0	100.0
4FVP_A	263	98.859	98.86
4FVQ_A	263	98.859	98.86
4FVR_A	263	98.859	98.86
4G16_A	268	100.0	100.0
4G17_A	268	100.0	100.0
4G2F_A	260	100.0	100.0
4GK2_A	260	100.0	100.0
4GK3_A	260	100.0	100.0
4GK4_A	260	100.0	100.0
4GUB_A	286	100.0	100.0
4HGL_A	268	100.0	100.0
4HGS_A	268	100.0	100.0
4HNI_A	267	100.0	100.0
4HOK_A	267	100.0	100.0
4HW7_A	331	85.196	85.2
4IBM_A	270	99.63	99.63
4J95_A	279	99.283	99.28
4J96_A	279	99.283	99.28
4J97_A	279	99.283	99.64
4J98_A	279	99.283	99.64
4JOA_A	270	99.63	99.63
4K33_A	279	98.925	99.28
4L00_A	265	100.0	100.0
4L01_A	265	99.623	99.62
4M7I_A	310	91.93557419354838	93.22912903225807
4NK9_A	279	99.283	99.28
4NKA_A	279	99.283	99.28
4NKS_A	279	99.283	99.28
4P4C_A	260	100.0	100.0
4QQ5_A	279	99.283	99.64
4QQC_A	279	99.642	99.64
4QQJ_A	279	98.925	99.28
4QQT_A	279	99.283	99.28
4QRC_A	279	99.283	99.28
4R6V_A	279	99.283	99.64
4R7H_A	331	85.196	85.2
4R7I_A	331	85.196	85.2
4RWI_A	279	98.925	99.28
4RWJ_A	279	99.283	99.28
4RWK_A	279	98.925	99.28
4RWL_A	279	99.283	99.28
4TYE_A	279	100.0	100.0
4TYG_A	279	100.0	100.0
4TYI_A	279	100.0	100.0
4TYJ_A	279	100.0	100.0
4U97_A	282	99.645	100.0
4UEU_A	254	68.11	83.07
4UWB_A	279	99.283	99.28
