pdb_idx	length	ident	simi
1IGR_A	49	30.611999999999995	55.1
1M6B_A	22	45.455	50.0
1YY9_A	21	38.095	61.89999999999999
2E9W_A	28	46.42900000000001	50.0
2EC8_A	34	44.118	55.88
2GY5_A	27	40.741	59.26
2GY7_B	27	40.741	59.26
2H7O_A	17	58.824	70.59
2H7V_C	17	58.824	70.59
2HR7_A	25	40.0	56.0
2I3S_A	22	45.455	59.09
2IFG_A	49	32.653	46.94
2NZI_A	14	64.286	78.57000000000001
2O26_U	24	33.333	45.830000000000005
2OOX_E	30	46.667	63.33
2OOY_E	30	46.667	63.33
2OQ1_A	20	45.0	60.0
2QLV_B	18	44.444	66.67
2QLV_C	26	38.462	53.85000000000001
2QR1_E	30	46.667	63.33
2QRC_E	30	46.667	63.33
2QRD_E	30	46.667	63.33
2QRE_E	30	46.667	63.33
2RIK_A	21	38.095	61.89999999999999
2RJM_A	21	38.095	61.89999999999999
2V8Q_E	31	41.935	61.29
2V92_E	31	41.935	61.29
2V9J_E	31	41.935	61.29
2WIU_A	15	53.333	73.33
2X10_A	11	72.727	81.82
2X11_A	11	72.727	81.82
2X2U_A	32	37.5	50.0
2Y1N_A	20	35.0	65.0
2Y8L_E	31	41.935	61.29
2Y8Q_E	31	41.935	61.29
2YA3_E	31	41.935	61.29
3AAD_A	27	37.037	62.96
3AKJ_A	51	31.373	41.18
3AKK_A	51	31.373	41.18
3AKL_A	51	31.373	41.18
3B2V_A	21	38.095	61.89999999999999
3B43_A	19	42.105	63.16
3BE1_A	66	28.788	48.48
3BE1_H	13	61.538	69.23
3CIO_A	16	56.25	62.5
3CU8_A	28	32.143	64.29
3DVL_A	24	41.667	66.67
3EJJ_X	24	45.833	66.67
3FL7_A	11	72.727	81.82
3GRE_A	64	21.875	43.75
3H3B_C	52	34.615	42.309999999999995
3JZM_A	24	41.667	66.67
3K09_A	24	41.667	66.67
3K0A_A	24	41.667	66.67
3K0C_A	24	41.667	66.67
3K0E_A	24	41.667	66.67
3KGV_A.fasta	 no output
3MBW_A	11	72.727	81.82
3MJG_X	19	42.105	78.95
3MX0_A	11	72.727	81.82
3MZW_A	66	28.788	48.48
3N85_A	66	28.788	48.48
3NH7_H	13	61.538	69.23
3NJP_A	17	41.176	70.59
3NKX_A	28	32.143	64.29
3OJ2_C	30	40.0	46.67
3OJM_B	30	40.0	46.67
3OJV_C	19	52.632	68.42
3P0Y_H	13	61.538	69.23
3P11_A	22	45.455	50.0
3P11_H	13	61.538	69.23
3PCS_A	17	47.059	64.71
3QS7_E	14	50.0	64.29
3QS9_E	51	29.412	41.18
3QWQ_A	17	41.176	70.59
3RE4_A	23	47.826	56.52
3RGX_A	38	39.474	50.0
3RGZ_A	38	39.474	50.0
3RIZ_A	38	39.474	50.0
3RJ0_A	38	39.474	50.0
3S1A_A	24	41.667	66.67
3SKJ_H	13	61.538	69.23
3T4N_C	26	38.462	53.85000000000001
3TAX_A	21	38.095	57.14
3TDH_C	26	38.462	53.85000000000001
3TE5_C	26	38.462	53.85000000000001
3TPB_A	15	53.333	73.33
3TPD_A	15	53.333	73.33
3TPE_A	15	53.333	73.33
3TPT_A	15	53.333	73.33
3TPV_B	15	53.333	73.33
3U2P_A	36	36.111	58.330000000000005
3U7U_A	36	36.111	58.330000000000005
3U9U_E	36	36.111	58.330000000000005
3UV5_A	27	37.037	62.96
3V2A_R	76	27.632	48.68
3V6B_R	35	31.428999999999995	51.43
3VRO_A	27	48.148	55.56
3VRP_A	27	48.148	55.56
3VRR_A	20	50.0	55.0
3W11_E	19	47.368	63.16
3W12_E	19	47.368	63.16
3W13_E	19	47.368	63.16
3WLW_A	14	50.0	64.29
3WSQ_A	14	50.0	64.29
3ZDT_A	16	56.25	75.0
3ZIM_A	21	42.857	66.67
3ZMP_A	20	45.0	55.0
3ZMQ_A	20	45.0	55.0
3ZNI_A	23	43.478	56.52
4A4B_A	20	35.0	65.0
4A4C_A	20	35.0	65.0
4A55_A	21	42.857	66.67
4A55_B	23	47.826	56.52
4AG4_A	13	46.154	53.85000000000001
4ANU_A	22	36.364	68.18
4ANV_A	22	36.364	68.18
4ANW_A	22	36.364	68.18
4ANX_A	22	36.364	68.18
4AOF_A	22	36.364	68.18
4BK4_A	34	35.294	52.94
4BK5_A	34	35.294	52.94
4BKA_A	34	35.294	52.94
4BKF_A	34	35.294	52.94
4BL0_A	22	45.455	59.09
4BSJ_A	15	53.333	66.67
4CH9_A	18	44.444	61.11
4CHB_A	11	81.818	90.91
4CYE_A	16	56.25	75.0
4DK5_A	22	36.364	68.18
4DKD_C	29	31.034	58.62
4DUG_A	24	41.667	66.67
4DYL_A	37	43.243	62.160000000000004
4EAI_C	31	41.935	61.29
4EAJ_C	31	41.935	61.29
4EAK_C	31	41.935	61.29
4EAL_C	31	41.935	61.29
4EKU_A	24	50.0	66.67
4EXP_X	24	45.833	66.67
4EZJ_A	22	36.364	68.18
4EZK_A	22	36.364	68.18
4EZL_A	22	36.364	68.18
4F1S_A	22	36.364	68.18
4FA6_A	22	36.364	68.18
4FAD_A	22	36.364	68.18
4FHJ_A	22	36.364	68.18
4FHK_A	22	36.364	68.18
4FJ3_A	28	32.143	64.29
4FJY_A	22	36.364	68.18
4FJZ_A	22	36.364	68.18
4FLH_A	22	36.364	68.18
4FUL_A	22	36.364	68.18
4FWW_A	43	34.884	44.19
4G11_A	22	36.364	68.18
4GB9_A	22	36.364	68.18
4GGD_A	9	88.889	100.0
4GS0_A	16	62.5	75.0
4GYW_A	21	38.095	57.14
4GYY_A	21	38.095	57.14
4GZ3_A	21	38.095	57.14
